T,α,τ,benefit_risk_heuristic,biggest_difference_heuristic,h,highest_prob_heuristic,least_difference_heuristic,neutral_heuristic,optimal
5,0.1,0.2,8.31707914348145,9.48270140296729,-1,9.14200692481851,9.14200692481851,8.1617267458643,8.1570806774718
5,0.2,0.2,8.30540789310196,9.34807203344424,-1,9.18445869887024,9.18445869887024,8.19247476314186,8.19032273549883
5,0.3,0.2,8.32169663134834,9.2607208006687,-1,9.29586753931855,9.29586753931855,8.24540691652049,8.24189033437935
5,0.1,0.4,7.5019620601302,9.03674929975252,-1,8.65549381538978,8.65549381538978,6.31258625327662,6.29880994431948
5,0.2,0.4,7.42454901481329,8.76952592485668,-1,8.67047113032113,8.67047113032113,6.33668817089353,6.32329150067977
5,0.3,0.4,7.38691787195691,8.59435463561739,-1,8.89139339867919,8.89139339867919,6.38999061250571,6.37113609651221
5,0.1,0.6,7.45634486000313,8.42027494581531,-1,7.98296598388897,7.98296598388897,4.40807171097977,4.39408208629617
5,0.2,0.6,7.35912177211655,7.99660320014186,-1,8.00544583209191,8.00544583209191,4.44442643505392,4.43083514735419
5,0.3,0.6,7.30705991957938,7.7286609668037,-1,8.33684959915693,8.33684959915693,4.52492358502903,4.50277293711179
5,0.1,0.8,3.08579216552949,7.22635421421818,-1,7.31023290189615,7.31023290189615,2.46251098366994,2.4529149625598
5,0.2,0.8,5.24304878741649,6.47188527924387,-1,7.34022742294269,7.34022742294269,2.5123541394347,2.50297592305591
5,0.3,0.8,5.18788699532873,5.9914761697608,-1,7.7821289346094,7.7821289346094,2.62158451630529,2.59784586845664
5,0.1,1,0.592178026450461,5.08531888839519,-1,6.63728006921899,6.63728006921899,0.449611458602465,0.449611458602465
5,0.2,1,0.56498231233422,3.84802424760076,-1,6.67480136670638,6.67480136670638,0.514070803339218,0.505721087299418
5,0.3,1,0.702420381367981,3.06969895583231,-1,7.22721749777756,7.22721749777756,0.653604014250969,0.607108509306577
5,0.1,0.2,5.25243943119424,6.09386984265044,-0.8,6.23609657360732,6.23609657360732,5.19510904960221,5.19510904960221
5,0.2,0.2,5.23489080629533,5.89304010505717,-0.8,6.24953070464917,6.24953070464917,5.21448131037194,5.21356111946513
5,0.3,0.2,5.23812027323748,5.75455583927675,-0.8,6.26330837064501,6.26330837064501,5.24903144454332,5.23804537079343
5,0.1,0.4,5.06696050229638,5.90067668685253,-0.8,6.47135230100295,6.47135230100295,4.01009520618801,4.01000965418459
5,0.2,0.4,4.93006569407333,5.48907476544887,-0.8,6.45624491780656,6.45624491780656,4.02179072054352,4.01890024556612
5,0.3,0.4,4.84171409178084,5.20945118495137,-0.8,6.44030350842339,6.44030350842339,4.05493477847575,4.04425229228193
5,0.1,0.6,4.09207535297935,5.61475282556832,-0.8,6.50704938488781,6.50704938488781,2.8007235925774,2.8007235925774
5,0.2,0.6,3.94772998329083,4.94618806168993,-0.8,6.48438805455486,6.48438805455486,2.81835591067161,2.81396428916059
5,0.3,0.6,3.85922832237865,4.50350334036725,-0.8,6.46047568211284,6.46047568211284,2.86825608484282,2.85206156065425
5,0.1,0.8,1.80538987865891,5.24071615075438,-0.8,6.54276048923132,6.54276048923132,1.58205945689429,1.58205945689429
5,0.2,0.8,2.03115274540422,4.23590705724667,-0.8,6.51254504061103,6.51254504061103,1.6058961504215,1.59998091669188
5,0.3,0.8,2.56099200867708,3.56833439040314,-0.8,6.48066153206466,6.48066153206466,1.67288555613687,1.62180043282955
5,0.1,1,0.349877329911441,4.65750774209103,-0.8,6.57848607445571,6.57848607445571,0.349876422618145,0.349876422618145
5,0.2,1,0.333679072678812,3.23806459024003,-0.8,6.54071633077682,6.54071633077682,0.380151081347681,0.329468847150762
5,0.3,1,0.349221439059714,2.29708617409076,-0.8,6.5008615073979,6.5008615073979,0.464555618713525,0.327988216517779
5,0.1,0.2,3.13262297204605,3.69428581112393,-0.6,3.97212300881642,3.97212300881642,2.92937536349937,2.92937536349937
5,0.2,0.2,3.05173829040074,3.45432773711123,-0.6,3.9588602586519,3.9588602586519,2.93895567306169,2.93018061253474
5,0.3,0.2,2.99710199896668,3.28114473439042,-0.6,3.94223439631384,3.94223439631384,2.95783674464339,2.92357170720202
5,0.1,0.4,2.80268710070521,3.91824159075329,-0.6,4.76981014108782,4.76981014108782,2.29025904544068,2.29025904544068
5,0.2,0.4,2.66375534303611,3.4063590346076,-0.6,4.72662894455184,4.72662894455184,2.29129295564535,2.28054827952363
5,0.3,0.4,2.56843433071304,3.05149491726963,-0.6,4.67305200982763,4.67305200982763,2.30695775216719,2.26621427184721
5,0.1,0.6,1.90445232251416,4.13891983910577,-0.6,5.35471521174701,5.35471521174701,1.63318551554078,1.63318551554078
5,0.2,0.6,2.0829956803431,3.31606790082139,-0.6,5.28994341693882,5.28994341693882,1.63475895657361,1.61028825064979
5,0.3,0.6,1.96071003096858,2.75505963880355,-0.6,5.20957801484727,5.20957801484727,1.65829668103377,1.58879537106178
5,0.1,0.8,0.996524711169889,4.35646600830713,-0.6,5.93962028248303,5.93962028248303,0.974722625564962,0.974722625564962
5,0.2,0.8,0.975131933426217,3.20358219846046,-0.6,5.85325788939982,5.85325788939982,0.976867423652268,0.933874079046637
5,0.3,0.8,1.28743384361101,2.4169885390432,-0.6,5.74610401993745,5.74610401993745,1.0083205902884,0.905399288384871
5,0.1,1,0.314476391456652,4.58431552718746,-0.6,6.52452535329591,6.52452535329591,0.314476391456652,0.314476391456652
5,0.2,1,0.251551364770223,3.05938608315004,-0.6,6.41657236193487,6.41657236193487,0.31722179389728,0.247710983206964
5,0.3,1,0.212477751080399,2.01898123200244,-0.6,6.28263002509819,6.28263002509819,0.35663378872655,0.212257703792406
5,0.1,0.2,1.74305054749773,2.09159281738563,-0.4,2.10026663670467,2.10026663670467,1.32230290311417,1.32230290311417
5,0.2,0.2,1.65315350353786,1.83386608111903,-0.4,1.84270845117122,1.84270845117122,1.32428407817962,1.31857720724793
5,0.3,0.2,1.51845414366187,1.6409813215764,-0.4,1.83186359488594,1.83186359488594,1.33118035375035,1.30521231702525
5,0.1,0.4,1.4055280670553,2.74474825960702,-0.4,3.1752957628206,3.1752957628206,1.08061380192951,1.08061380192951
5,0.2,0.4,1.27421131744515,2.16155712392226,-0.4,2.37619583368912,2.37619583368912,1.07298611310564,1.05441391043004
5,0.3,0.4,1.17773917851632,1.75248939045372,-0.4,2.33946606328321,2.33946606328321,1.07457187384459,1.0312768573321
5,0.1,0.6,0.878739160444395,3.37899552412292,-0.4,3.96294364821826,3.96294364821826,0.820781476035499,0.820781476035499
5,0.2,0.6,0.895707183542069,2.47210073196542,-0.4,2.76429375251431,2.76429375251431,0.809340744572634,0.780326223957265
5,0.3,0.6,0.944032431461003,1.84053828580374,-0.4,2.70919909681411,2.70919909681411,0.811721975529487,0.745610918783594
5,0.1,0.8,0.574489537926031,4.03971127265745,-0.4,4.75059153627428,4.75059153627428,0.560859189802609,0.560859189802609
5,0.2,0.8,0.508232555478088,2.80448796621875,-0.4,3.15239167265998,3.15239167265998,0.545606029699315,0.505549104149957
5,0.3,0.8,0.465361221556574,1.94369308750815,-0.4,3.07893213160457,3.07893213160457,0.548784488923464,0.459255192502288
5,0.1,1,0.300835562893964,4.76235676331694,-0.4,5.53823942698938,5.53823942698938,0.300835562893964,0.300835562893964
5,0.2,1,0.233123635167018,3.17499057863431,-0.4,3.54048959412649,3.54048959412649,0.28177061093919,0.229769321008037
5,0.3,1,0.171896145810563,2.06784480600776,-0.4,3.44866516765497,3.44866516765497,0.285748230461652,0.171892386672062
5,0.1,0.2,0.800963192996458,1.18133993754956,-0.2,0.362586238335014,0.362586238335014,0.35947532410513,0.35947532410513
5,0.2,0.2,0.727293638377651,0.922554625099559,-0.2,0.359899246905825,0.359899246905825,0.356189324760499,0.355455813636736
5,0.3,0.2,0.592927466673516,0.723134461213709,-0.2,0.359130100950296,0.359130100950296,0.355054023194921,0.348107124652022
5,0.1,0.4,0.401631899987608,2.10892226894263,-0.2,0.360940103895783,0.360940103895783,0.357254083771691,0.357254083771691
5,0.2,0.4,0.542276939561854,1.49194079288172,-0.2,0.347772823756504,0.347772823756504,0.343000701363533,0.334594628983208
5,0.3,0.4,0.451847214921308,1.05563425327676,-0.2,0.339621679202748,0.339621679202748,0.334127154910946,0.306512322047286
5,0.1,0.6,0.354362297269942,2.99050108510615,-0.2,0.341410125877926,0.341410125877926,0.335881063445116,0.335881063445116
5,0.2,0.6,0.303559731563667,2.05494893702774,-0.2,0.3216591258811,0.3216591258811,0.314500835942044,0.301873435431764
5,0.3,0.6,0.337984637916234,1.39360837729,-0.2,0.309432375947125,0.309432375947125,0.301190415605987,0.259742502889536
5,0.1,0.8,0.314508001483719,3.89161662457191,-0.2,0.321880127822294,0.321880127822294,0.314508001483719,0.314508001483719
5,0.2,0.8,0.271399123725967,2.63230195094488,-0.2,0.295545354656153,0.295545354656153,0.286000825971239,0.269150729021851
5,0.3,0.8,0.212967230610962,1.74188582961161,-0.2,0.279242977223404,0.279242977223404,0.268253464437585,0.212965119396963
5,0.1,1,0.29313489694582,4.82322620871006,-0.2,0.302350109398276,0.302350109398276,0.29313489694582,0.29313489694582
5,0.2,1,0.25750027060797,3.23048308626206,-0.2,0.269431508903943,0.269431508903943,0.257500668240501,0.236420120350028
5,0.3,1,0.215757873004483,2.1039901968262,-0.2,0.249053481502453,0.249053481502453,0.235316296711346,0.166173540704381
5,0.1,0.2,0.520854679345425,0.917399071152584,0,0.03777522320155,0.03777522320155,0.037705612688643,0.037705612688643
5,0.2,0.2,0.471672663971263,0.670216418057785,0,0.031545866534762,0.031545866534762,0.031500125136475,0.030838723502245
5,0.3,0.2,0.343721870798021,0.475518108313677,0,0.026364434998108,0.026364434998108,0.026337072854392,0.024030467354193
5,0.1,0.4,0.114982756481688,1.94228741164381,0,0.115197864802706,0.115197864802706,0.114982756481688,0.114982756481688
5,0.2,0.4,0.096129377513562,1.32294354920926,0,0.096270726211789,0.096270726211789,0.096129377513562,0.094085534010307
5,0.3,0.4,0.073356474836073,0.880185081307497,0,0.080543709804554,0.080543709804554,0.080459156128983,0.072126446664471
5,0.1,0.6,0.172474136336011,2.92410118915163,0,0.172796798820518,0.172796798820518,0.172474136336011,0.172474136336011
5,0.2,0.6,0.144194067603278,1.99143445683224,0,0.144406090652516,0.144406090652516,0.144194067603278,0.141128302321094
5,0.3,0.6,0.110034713254238,1.32479772627865,0,0.120815565809787,0.120815565809787,0.120688735296352,0.108192968717019
5,0.1,0.8,0.22996551726631,3.9133626533388,0,0.230395733916291,0.230395733916291,0.22996551726631,0.22996551726631
5,0.2,0.8,0.192258758581887,2.66527342824268,0,0.192541455983402,0.192541455983402,0.192258758581887,0.188171071502572
5,0.3,0.8,0.146712952345865,1.77315068370805,0,0.161087422550544,0.161087422550544,0.160918315199193,0.144261702101616
5,0.1,1,0.287456899273502,4.91324089114239,0,0.287994670090946,0.287994670090946,0.287456899273502,0.287456899273502
5,0.2,1,0.240323450450153,3.34643167160352,0,0.240676822205211,0.240676822205211,0.240323450450153,0.235213841555492
5,0.3,1,0.183391192108292,2.22644098110272,0,0.201359280027457,0.201359280027457,0.201147895838136,0.180332730310323
5,0.1,0.2,0.616209576148609,1.11309531241911,0.2,0.400428770631287,0.400428770631287,0.356716933121808,0.356716933121808
5,0.2,0.2,0.543603956803781,0.894925613192805,0.2,0.390332473810636,0.390332473810636,0.349939175281278,0.349350534794861
5,0.3,0.2,0.479934501065766,0.721497518056767,0.2,0.382137220236225,0.382137220236225,0.344758064410951,0.342355244075907
5,0.1,0.4,0.455099913486277,2.14419596262871,0.2,0.382909523571295,0.382909523571295,0.353364091284815,0.353364091284815
5,0.2,0.4,0.527896921340895,1.62508145858085,0.2,0.353880131481606,0.353880131481606,0.331930589482504,0.33011145219035
5,0.3,0.4,0.464343724069931,1.21873683179795,0.2,0.330693029230202,0.330693029230202,0.313131058742182,0.306756663219402
5,0.1,0.6,0.33298591507497,3.02846203911449,0.2,0.37436428523178,0.37436428523178,0.330044793427302,0.330044793427302
5,0.2,0.6,0.421272752265538,2.24520463396521,0.2,0.330820196948735,0.330820196948735,0.29789309823284,0.295164351605591
5,0.3,0.6,0.36139682471396,1.63257297788058,0.2,0.296039543452466,0.296039543452466,0.269692640078875,0.260130815634015
5,0.1,0.8,0.310645100224461,3.92138093202598,0.2,0.365819046813094,0.365819046813094,0.306724580044406,0.306724580044406
5,0.2,0.8,0.267555393161865,2.87106436504514,0.2,0.307760262237428,0.307760262237428,0.263853723960377,0.260215340719445
5,0.3,0.8,0.216168453847547,2.04996248837495,0.2,0.261386057416528,0.261386057416528,0.226251558923987,0.213502150583107
5,0.1,1,0.283403400276801,4.82781672635593,0.2,0.357273808320688,0.357273808320688,0.283403400276801,0.283403400276801
5,0.2,1,0.234436860589875,3.5056673718318,0.2,0.284700327352761,0.284700327352761,0.229812376607889,0.225264328391748
5,0.3,1,0.170199525833029,2.47268033470369,0.2,0.226732571127023,0.226732571127023,0.182807693422387,0.166870540059216
5,0.1,0.2,1.56608295263647,2.0372354105319,0.4,1.42458596678168,1.42458596678168,1.31700954767117,1.31700954767117
5,0.2,0.2,1.48228154490234,1.81312908936682,0.4,1.41926161799764,1.41926161799764,1.31201297777839,1.31040903477596
5,0.3,0.2,1.41353806732195,1.63752872104934,0.4,1.41592004204367,1.41592004204367,1.31083496044653,1.3066567632682
5,0.1,0.4,1.31806618316899,2.81227875699605,0.4,1.15417932974637,1.15417932974637,1.07318552902251,1.07318552902251
5,0.2,0.4,1.24196701413877,2.2902934460943,0.4,1.12913407417335,1.12913407417335,1.0512072216511,1.04961700181959
5,0.3,0.4,1.17012306350366,1.88014879310851,0.4,1.10872187939292,1.10872187939292,1.03297258674349,1.02698265418038
5,0.1,0.6,0.954343831718216,3.44047432984845,0.4,0.931268850672233,0.931268850672233,0.809495735173908,0.809495735173908
5,0.2,0.6,1.05170546083822,2.64631464452058,0.4,0.893700955713527,0.893700955713527,0.776510626545385,0.774125296798117
5,0.3,0.6,0.944732670970478,2.02359398699313,0.4,0.863082655051043,0.863082655051043,0.749145464163252,0.740074255880816
5,0.1,0.8,0.54826334077736,4.08539116318157,0.4,0.708358276420531,0.708358276420531,0.54562120955022,0.54562120955022
5,0.2,0.8,0.636347229091987,3.01076235243404,0.4,0.658267734327551,0.658267734327551,0.501611937443087,0.498431497780064
5,0.3,0.8,0.546080143195848,2.16944270453777,0.4,0.617443322107884,0.617443322107884,0.46510364576522,0.452891964174698
5,0.1,1,0.284690441183993,4.76441306575535,0.4,0.485447607586963,0.485447607586963,0.281527009931184,0.281527009931184
5,0.2,1,0.227780153119477,3.39267000140915,0.4,0.422834410628481,0.422834410628481,0.226476891378543,0.222501341799764
5,0.3,1,0.165400797414458,2.32105004709646,0.4,0.371803881200885,0.371803881200885,0.180813229894253,0.165387877203328
5,0.1,0.2,3.03438593394435,3.63261827428615,0.6,3.18996953741091,3.18996953741091,2.92312011083508,2.92312011083508
5,0.2,0.2,2.98611786924611,3.41340052126516,0.6,3.18715759102947,3.18715759102947,2.92226289419706,2.92010114738184
5,0.3,0.2,2.95308873031795,3.24615889895571,0.6,3.18837154174768,3.18837154174768,2.92910805200591,2.92401097254468
5,0.1,0.4,2.61539557299299,3.99688426180408,0.6,2.50090604739014,2.50090604739014,2.2819112293373,2.2819112293373
5,0.2,0.4,2.53103606572965,3.4953470588981,0.6,2.47423772893612,2.47423772893612,2.26143101959825,2.26007780601983
5,0.3,0.4,2.45737815252021,3.10247373297187,0.6,2.45986886014734,2.45986886014734,2.2474850551812,2.24196548042028
5,0.1,0.6,2.09255547598509,4.22217861824155,0.6,1.95135840345679,1.95135840345679,1.61949203854302,1.61949203854302
5,0.2,0.6,1.9643165518308,3.44789753545931,0.6,1.91135590356696,1.91135590356696,1.58871652941767,1.58668670900754
5,0.3,0.6,1.8521478527684,2.84307101317276,0.6,1.88980258705005,1.88980258705005,1.56775871815518,1.558851812489
5,0.1,0.8,0.95785208703253,4.45793195213575,0.6,1.40181030744319,1.40181030744319,0.954743487949456,0.954743487949456
5,0.2,0.8,1.07312564078038,3.39201750188142,0.6,1.34847361191225,1.34847361191225,0.913558968581886,0.910750485095452
5,0.3,0.8,1.20819317982162,2.56280344108046,0.6,1.31973583948974,1.31973583948974,0.885522682076211,0.872764559399914
5,0.1,1,0.28909312978436,4.73946681353809,0.6,0.852261746322158,0.852261746322158,0.286795929181701,0.286795929181701
5,0.2,1,0.233945111862035,3.33208051763285,0.6,0.785590841830735,0.785590841830735,0.235105959901555,0.230276786418182
5,0.3,1,0.254530963257131,2.24436648570375,0.6,0.749668606466474,0.749668606466474,0.199933686599989,0.182642899074763
5,0.1,0.2,5.37151478307508,5.97366420127178,0.8,5.75108757333078,5.75108757333078,5.19365311315528,5.19365311315528
5,0.2,0.2,5.32284680917133,5.77456939886658,0.8,5.74903425268351,5.74903425268351,5.19928718553606,5.19893330195196
5,0.3,0.2,5.29625262711122,5.6289086352932,0.8,5.75281612318577,5.75281612318577,5.21806909894703,5.21494750554041
5,0.1,0.4,4.68267213645562,5.83915967996031,0.8,4.56526848531717,4.56526848531717,4.01124946055198,4.01124946055198
5,0.2,0.4,4.59331075440045,5.39536823801441,0.8,4.54167397452709,4.54167397452709,3.99426637941891,3.99316143590514
5,0.3,0.4,4.52199311773033,5.05218171151312,0.8,4.53627473528686,4.53627473528686,3.98828307777738,3.9842459230313
5,0.1,0.6,3.6565458578927,5.58118595261951,0.8,3.64790248991776,3.64790248991776,2.79825103110763,2.79825103110763
5,0.2,0.6,3.53133473641747,4.87612776099789,0.8,3.61251071937751,3.61251071937751,2.77271568477906,2.77105826918799
5,0.3,0.6,3.42937648596614,4.33049916042404,0.8,3.60441185866133,3.60441185866133,2.76369874131808,2.75764299902343
5,0.1,0.8,2.05521675262902,5.27349284119022,0.8,2.73053633595541,2.73053633595541,1.570976814364,1.570976814364
5,0.2,0.8,2.47412817244774,4.28249044184819,0.8,2.68334730277177,2.68334730277177,1.53646379473392,1.53425390770638
5,0.3,0.8,2.32660115046528,3.52130861424364,0.8,2.67254881954101,2.67254881954101,1.52424039415798,1.51616606899962
5,0.1,1,0.324591743748391,4.91529347008717,0.8,1.81317002448157,1.81317002448157,0.320163095119899,0.320163095119899
5,0.2,1,0.275769384545077,3.51218711778173,0.8,1.75418372622722,1.75418372622722,0.276365227067363,0.272731447071836
5,0.3,1,0.344428013394892,2.45216425032241,0.8,1.74068561996199,1.74068561996199,0.260855970584205,0.244857694828553
5,0.1,0.2,8.53135524262723,9.20818991569605,1,8.6671349383603,8.6671349383603,8.17737980317662,8.16075032595009
5,0.2,0.2,8.48723228411653,9.04907235140261,1,8.70322751453666,8.70322751453666,8.19168459961251,8.19141759827029
5,0.3,0.2,8.47056515298681,8.94000419182355,1,8.74833652430068,8.74833652430068,8.22579288460115,8.22479048910456
5,0.1,0.4,7.8064259219292,8.6457784988964,1,6.76661901815341,6.76661901815341,6.35323251449752,6.24166591845676
5,0.2,0.4,7.71905245017678,8.29703691676492,1,6.78805421552056,6.78805421552056,6.34168234070292,6.24821387979141
5,0.3,0.4,7.65858711519753,8.03544649049314,1,6.83453887556994,6.83453887556994,6.34703145327181,6.27133706037834
5,0.1,0.6,6.43370584853396,7.99770778900936,1,5.149729800332,5.149729800332,4.46614650450438,4.34233015536675
5,0.2,0.6,6.32264121494338,7.43559405183039,1,5.18188179398521,5.18188179398521,4.44878791515221,4.35214402818303
5,0.3,0.6,6.24140985431595,7.00658758492797,1,5.25160927945417,5.25160927945417,4.45677107245896,4.38683910296978
5,0.1,0.8,3.78518204748918,7.18232640699066,1,3.53269861248803,3.53269861248803,2.51863889012732,2.42486974135138
5,0.2,0.8,4.97385097428002,6.38238563681726,1,3.57556636776518,3.57556636776518,2.49452803875047,2.43769940711242
5,0.3,0.8,4.85686696112298,5.77755078952727,1,3.66853768630079,3.66853768630079,2.50510364635137,2.48396759246843
5,0.1,1,0.461835731333918,6.17595079312737,1,1.91549580983996,1.91549580983996,0.447080433441483,0.447080433441483
5,0.2,1,0.797568504539551,4.94182852561053,1,1.96908049792188,1.96908049792188,0.415750406161333,0.413635464746096
